,code,name,date_test_data_reported,dx_testing_capacity,facility_access,sequencing_facilities,sars_cov_2_sequencing,TPR_pct,daily_tests_per_1000,pct_seq,seq_per_100k,cases_per_100k,archetype,archetype_description
0,IDN,Indonesia,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,6 %,0.58 per 1000 persons,0.32 %,4.1 per 100k persons,0.6 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
1,MYS,Malaysia,"June 16, 2021",Insufficient data,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,6 %,1.73 per 1000 persons,0.26 %,21.4 per 100k persons,70.3 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
2,CHL,Chile,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,5.7 %,3 per 1000 persons,1.4 %,87 per 100k persons,54.9 per 100k persons,High Income*,High Income*
3,BOL,Bolivia,"January 02, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,16.9 %,0.62 per 1000 persons,0.01 %,0.5 per 100k persons,351.7 per 100k persons,Test,Test - Increase diagnostic testing capacity
4,PER,Peru,"December 17, 2021",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Sufficient sequencing capacity,7.7 %,1.38 per 1000 persons,0.88 %,33.9 per 100k persons,79.1 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
5,ARG,Argentina,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,17.4 %,1.41 per 1000 persons,0.17 %,15.3 per 100k persons,671.7 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
6,CYP,Cyprus,"July 11, 2021",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,0.8 %,34.45 per 1000 persons,0.08 %,13.8 per 100k persons,3153.1 per 100k persons,High Income*,High Income*
7,IND,India,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,4.9 %,1 per 1000 persons,0.33 %,5.9 per 100k persons,15 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
8,CHN,China,"June 24, 2020",Insufficient data,High Income*,4+ NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,1.24 %,0 per 100k persons,0.1 per 100k persons,High Income*,High Income*
9,ISR,Israel,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,3.4 %,8.99 per 1000 persons,3.72 %,386 per 100k persons,439.1 per 100k persons,High Income*,High Income*
10,PSE,Palestine,"December 30, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,16.8 %,1.06 per 1000 persons,0.01 %,0.7 per 100k persons,31.4 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
11,LBN,Lebanon,"June 23, 2021",Insufficient data,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,13.3 %,2.3 per 1000 persons,0.18 %,14.5 per 100k persons,367.3 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
12,ETH,Ethiopia,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,13 %,0.05 per 1000 persons,0.17 %,0.4 per 100k persons,23 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
13,SSD,South Sudan,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,5.1 %,0.06 per 1000 persons,0.72 %,0.8 per 100k persons,7.8 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
14,SOM,Somalia,"December 22, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,5.6 %,0.06 per 1000 persons,0.06 %,0.1 per 100k persons,0 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
15,KEN,Kenya,"January 03, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,10.1 %,0.1 per 1000 persons,1.91 %,7.1 per 100k persons,30 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
16,PAK,Pakistan,"December 30, 2021",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,4.9 %,0.21 per 1000 persons,0.18 %,0.6 per 100k persons,1.9 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
17,MWI,Malawi,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,17.2 %,0.06 per 1000 persons,1.12 %,4 per 100k persons,23.7 per 100k persons,Test,Test - Increase diagnostic testing capacity
18,TZA,Tanzania,"September 23, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,7.1 %,0.01 per 1000 persons,0 %,0 per 100k persons,4.6 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
19,SYR,Syria,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0.05 %,0.1 per 100k persons,1.2 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
20,FRA,France,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,5 %,6.56 per 1000 persons,1.72 %,211.4 per 100k persons,1874.2 per 100k persons,High Income*,High Income*
21,SUR,Suriname,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,Insufficient Data,Insufficient Data,1.71 %,138.6 per 100k persons,451 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
22,GUY,Guyana,"December 28, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,8.6 %,1.34 per 1000 persons,0.15 %,6.5 per 100k persons,188.3 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
23,KOR,South Korea,"October 31, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,2.6 %,0.74 per 1000 persons,3.34 %,38.1 per 100k persons,56 per 100k persons,High Income*,High Income*
24,PRK,North Korea,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
25,MAR,Morocco,"January 03, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,9.7 %,0.4 per 1000 persons,0.06 %,0.9 per 100k persons,38.5 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
26,CRI,Costa Rica,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,16.1 %,1.34 per 1000 persons,0.5 %,39.6 per 100k persons,103.4 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
27,NIC,Nicaragua,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,0 per 100k persons,0.6 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
28,COG,Republic of the Congo,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,5.5 %,0.12 per 1000 persons,2.91 %,7.3 per 100k persons,21 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
29,COD,Democratic Republic of the Congo,"January 03, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,7.4 %,0.02 per 1000 persons,0.18 %,0.1 per 100k persons,7.5 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
30,BTN,Bhutan,"January 01, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,0.2 %,3.55 per 1000 persons,0 %,0 per 100k persons,0.8 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
31,UKR,Ukraine,"January 04, 2022",Unreliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,24.6 %,0.7 per 1000 persons,0.02 %,1 per 100k persons,68.8 per 100k persons,Test,Test - Increase diagnostic testing capacity
32,BLR,Belarus,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,7.1 %,2.05 per 1000 persons,0 %,0.1 per 100k persons,81 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
33,NAM,Namibia,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,18.8 %,0.71 per 1000 persons,0.1 %,4.9 per 100k persons,142.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
34,NAM,Namibia,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,18.8 %,0.71 per 1000 persons,0.1 %,4.9 per 100k persons,142.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
35,NAM,Namibia,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,18.8 %,0.71 per 1000 persons,0.1 %,4.9 per 100k persons,142.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
36,NAM,Namibia,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,18.8 %,0.71 per 1000 persons,0.1 %,4.9 per 100k persons,142.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
37,NAM,Namibia,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,18.8 %,0.71 per 1000 persons,0.1 %,4.9 per 100k persons,142.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
38,NAM,Namibia,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,18.8 %,0.71 per 1000 persons,0.1 %,4.9 per 100k persons,142.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
39,ZAF,South Africa,"January 03, 2022",Unreliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Sufficient sequencing capacity,16.4 %,0.67 per 1000 persons,0.84 %,32.8 per 100k persons,98.4 per 100k persons,Test,Test - Increase diagnostic testing capacity
40,MAF,Saint Martin,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,High Income*,High Income*
41,SXM,Sint Maarten (Dutch part),No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,Inf %,Insufficient Data,0 per 100k persons,High Income*,High Income*
42,OMN,Oman,"May 28, 2021",Insufficient data,High Income*,4+ NGS facilities or equivalent,High Income*,85.2 %,0.13 per 1000 persons,0.17 %,5.6 per 100k persons,18.9 per 100k persons,High Income*,High Income*
43,UZB,Uzbekistan,"July 14, 2020",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0.05 %,0.2 per 100k persons,2.3 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
44,KAZ,Kazakhstan,"May 28, 2021",Insufficient data,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,3.7 %,2.3 per 1000 persons,0.05 %,2.1 per 100k persons,14.5 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
45,TJK,Tajikistan,"March 30, 2020",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,0 per 100k persons,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
46,LTU,Lithuania,"January 04, 2022",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,7.2 %,5.31 per 1000 persons,6.85 %,959.3 per 100k persons,468.9 per 100k persons,High Income*,High Income*
47,BRA,Brazil,"December 31, 2021",Unreliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Sufficient sequencing capacity,31.4 %,0.6 per 1000 persons,0.6 %,40.5 per 100k persons,32.2 per 100k persons,Test,Test - Increase diagnostic testing capacity
48,URY,Uruguay,"December 29, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,10.3 %,3.01 per 1000 persons,0.14 %,16.1 per 100k persons,321.8 per 100k persons,High Income*,High Income*
49,MNG,Mongolia,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0.06 %,7.4 per 100k persons,70 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
50,RUS,Russia,"December 20, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,4.8 %,2.82 per 1000 persons,0.13 %,6.2 per 100k persons,90.5 per 100k persons,High Income*,High Income*
51,CZE,Czech Republic,"January 04, 2022",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,4.1 %,11.04 per 1000 persons,1.22 %,198.1 per 100k persons,359 per 100k persons,High Income*,High Income*
52,DEU,Germany,"December 14, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,9.4 %,1.93 per 1000 persons,5.88 %,387.4 per 100k persons,311.5 per 100k persons,High Income*,High Income*
53,EST,Estonia,"January 04, 2022",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,11.3 %,3.9 per 1000 persons,3.74 %,607.6 per 100k persons,502.1 per 100k persons,High Income*,High Income*
54,LVA,Latvia,"January 04, 2022",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,5 %,6.8 per 1000 persons,3 %,380.1 per 100k persons,341.1 per 100k persons,High Income*,High Income*
55,NOR,Norway,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,5.3 %,3.32 per 1000 persons,10.04 %,663.6 per 100k persons,543.1 per 100k persons,High Income*,High Income*
56,SWE,Sweden,"May 10, 2021",Insufficient data,High Income*,4+ NGS facilities or equivalent,High Income*,10.6 %,4.19 per 1000 persons,14.81 %,1341.8 per 100k persons,622 per 100k persons,High Income*,High Income*
57,FIN,Finland,"September 15, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,2.2 %,3.12 per 1000 persons,8.61 %,381.5 per 100k persons,830.4 per 100k persons,High Income*,High Income*
58,VNM,Vietnam,"May 08, 2021",Insufficient data,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,0.2 %,0.09 per 1000 persons,0.1 %,1.9 per 100k persons,122 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
59,KHM,Cambodia,"December 27, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,5 %,0.4 per 1000 persons,1.66 %,11.8 per 100k persons,0.3 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
60,LUX,Luxembourg,"December 29, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,2.6 %,9.41 per 1000 persons,29.34 %,2738.3 per 100k persons,950.2 per 100k persons,High Income*,High Income*
61,ARE,United Arab Emirates,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,0.6 %,25.22 per 1000 persons,0.1 %,5.7 per 100k persons,172.9 per 100k persons,High Income*,High Income*
62,BEL,Belgium,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,6.2 %,5.55 per 1000 persons,4.91 %,633.3 per 100k persons,765.8 per 100k persons,High Income*,High Income*
63,GEO,Georgia,"June 16, 2021",Insufficient data,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,8.8 %,2.21 per 1000 persons,0.12 %,20.8 per 100k persons,355.4 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
64,MKD,North Macedonia,"December 17, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,11.9 %,1.57 per 1000 persons,0.39 %,26.7 per 100k persons,164.6 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
65,ALB,Albania,"January 04, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,12.5 %,1.16 per 1000 persons,0.03 %,1.6 per 100k persons,127.7 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
66,AZE,Azerbaijan,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,10.8 %,0.99 per 1000 persons,0 %,0.1 per 100k persons,29.9 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
67,,,,,,,,,,,,,,
68,TUR,Turkey,"September 24, 2021",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Sufficient sequencing capacity,8 %,2.65 per 1000 persons,1.08 %,93.7 per 100k persons,337.5 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
69,ESP,Spain,"November 15, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,7.8 %,2.76 per 1000 persons,1.49 %,153.6 per 100k persons,1610.8 per 100k persons,High Income*,High Income*
70,LAO,Laos,"July 06, 2021",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,1.1 %,0.16 per 1000 persons,0 %,0 per 100k persons,84.2 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
71,KGZ,Kyrgyzstan,"June 23, 2021",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,1.5 %,2.19 per 1000 persons,0 %,0 per 100k persons,4.9 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
72,ARM,Armenia,"October 11, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,9.7 %,1.76 per 1000 persons,0.05 %,3.2 per 100k persons,16.1 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
73,DNK,Denmark,"December 30, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,0.7 %,45.63 per 1000 persons,36.2 %,4323.6 per 100k persons,2168.1 per 100k persons,High Income*,High Income*
74,LBY,Libya,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,19.8 %,0.58 per 1000 persons,0.02 %,0.7 per 100k persons,58.3 per 100k persons,Test,Test - Increase diagnostic testing capacity
75,TUN,Tunisia,"January 03, 2022",Unreliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,21.4 %,0.64 per 1000 persons,0.04 %,1.9 per 100k persons,58.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
76,ROU,Romania,"January 04, 2022",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,9.6 %,1.75 per 1000 persons,0.66 %,40.5 per 100k persons,65.4 per 100k persons,High Income*,High Income*
77,HUN,Hungary,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,14.4 %,1.84 per 1000 persons,0.01 %,0.7 per 100k persons,187 per 100k persons,High Income*,High Income*
78,SVK,Slovakia,"September 20, 2021",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,1.3 %,28.05 per 1000 persons,1.62 %,323.1 per 100k persons,439.7 per 100k persons,High Income*,High Income*
79,POL,Poland,"December 20, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,14 %,1.43 per 1000 persons,1.43 %,106.6 per 100k persons,213.8 per 100k persons,High Income*,High Income*
80,IRL,Ireland,"December 30, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,9 %,4.22 per 1000 persons,5.87 %,894.1 per 100k persons,2724 per 100k persons,High Income*,High Income*
81,GBR,United Kingdom,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,3 %,14.11 per 1000 persons,13.25 %,2128.6 per 100k persons,1862.1 per 100k persons,High Income*,High Income*
82,GRC,Greece,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,2.5 %,11.75 per 1000 persons,0.96 %,111.7 per 100k persons,2304.9 per 100k persons,High Income*,High Income*
